IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
070781-04062018,AFA CO HAVE THIS AS CANONBURY SIXTH FORM AFA ACTUATING,04/06/2018 08:27,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,CANONBURY PLACE,N1 2NQ,ISLINGTON,CANONBURY,Inner London,Heat source and combustibles brought together deliberately,"Under stairs (enclosed, storage area)",,Human Element,Other ignition source,No,0
072708-08062018,AFA ACTUATING AND SMOKE ISSUING FROM BOILER ROOM,08/06/2018 11:33,Primary Fire,Accidental,Burned out (Allowed to burn under control),None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,MONTBELLE PRIMARY SCHOOL,,,MILVERTON WAY,SE9 3EY,GREENWICH,COLDHARBOUR AND NEW ELTHAM,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
075813-14062018,SMOKE ISSUING FROM ROOF OF SCHOOL,14/06/2018 19:37,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Roof space only,STAGECOACH THEATRE ARTS WOODFORD,,,ST BARNABAS ROAD,IG8 7DQ,REDBRIDGE,RODING,Outer London,Fault in equipment or appliance,Roof,,Faulty Appliance or Supply,Electrical distribution,Yes,1
079048-21062018,FIRE IN KITCHEN - FIU REQUIRED,21/06/2018 05:40,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,VICTORY PRIMARY SCHOOL,,,ELBA PLACE,SE17 1PT,SOUTHWARK,EAST WALWORTH,Inner London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
081827-25062018,FIRE - STUDENT HALLS OF RESIDENCE,25/06/2018 04:29,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,,,,GROVE HILL,HA1 3HJ,HARROW,HARROW ON THE HILL,Outer London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Other item,No,0
082225-25062018,FIRE AND EXPLOSION,25/06/2018 17:54,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to floor of origin (not whole building),MACE MONTESSORI SCHOOL LTD,,,WOODSIDE LANE,N12 8TP,BARNET,WOODHOUSE,Outer London,Fault in equipment or appliance,Bathroom/Toilet,,Faulty Appliance or Supply,Other item,No,0
083360-27062018,SMOKE ISSUING FROM BASEMENT,27/06/2018 10:07,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,LABURNUM STREET,E2 8BA,HACKNEY,HAGGERSTON,Inner London,"Overheating, unknown cause",Corridor/Hall,,Faulty Appliance or Supply,Heating appliances,No,0
085819-30062018,SMOKE ISSUING IN CORRIDOR  REPORTED BY CLEANERS WHO ARE CLEANING,30/06/2018 21:07,Primary Fire,Accidental,Water - from bucket/containers,Small means,Infant/Primary school,Education,Non Residential,Limited to room of origin,RAPHAEL INDEPENDENT SCHOOL,,,PARK LANE,RM11 1XY,HAVERING,ROMFORD TOWN,Outer London,Faulty fuel supplies – Electricity,Other,class room,Faulty Appliance or Supply,Electrical distribution,No,0
086989-02072018,FIRE AND EXPLOSION ON ROOF - MULTIPLE CALLS,02/07/2018 16:13,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,NEW HORIZONS NURSERY,,,HUNTINGDON ROAD,N9 8LS,ENFIELD,LOWER EDMONTON,Outer London,Accumulation of flammable material,Roof space,,Human Element,Smoking related,No,0
089267-05072018,AFA ACTUATING,05/07/2018 09:13,Primary Fire,Accidental,Removal from/of heat source,Small means,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,ABBS CROSS DAY NURSERY,,,SUTTONS AVENUE,RM12 4LY,HAVERING,ST. ANDREW'S,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
090159-06072018,AFA ACTUATING,06/07/2018 15:59,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Infant/Primary school,Education,Non Residential,Limited to room of origin,BRANFIL PRIMARY SCHOOL,,,CEDAR AVENUE,RM14 2LW,HAVERING,UPMINSTER,Outer London,Combustible articles too close to heat source (or fire),External structures,,Human Element,Not confirmed,Unknown,0
093209-10072018,FIRE ALL OUT,10/07/2018 16:26,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to room of origin,ST OSMUNDS R C JUNIOR SCHOOL,,,CHURCH ROAD,SW13 9HQ,RICHMOND UPON THAMES,BARNES,Outer London,Unsafe use of heat source - due to unsafe disposal,Boiler room,,Human Element,Smoking related,No,0
094626-12072018,RUBBISH ALIGHT,12/07/2018 19:08,Primary Fire,Not Known,No firefighting,None,Secondary school,Education,Non Residential,,RUTLISH SCHOOL,,,WATERY LANE,SW20 9AD,MERTON,MERTON PARK,Outer London,Natural occurrence,Other,outside school,Human Element,Not confirmed,No,0
098265-17072018,FIRE,17/07/2018 12:54,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,HIGH STREET,EN3 4EZ,ENFIELD,PONDERS END,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Not confirmed,No,0
099299-18072018,BIN ALIGHT  NEAR CHILDRENS NURSERY,18/07/2018 18:37,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to room of origin,WANDSWORTH INTERIM SCHOOL PROJECT,,WANDSWORTH INTERIM SCHOOL PROJECT,WESTDEAN CLOSE,SW18 2JX,WANDSWORTH,FAIRFIELD,Inner London,Unsafe use of heat source - due to unsafe disposal,External structures,,Human Element,Smoking related,No,0
099758-19072018,FOUR PUMP FIRE  AERIAL X 1 LINE OPS LEVEL 1,19/07/2018 13:08,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),THE MALL SCHOOL,,,HAMPTON ROAD,TW2 5NQ,RICHMOND UPON THAMES,SOUTH TWICKENHAM,Outer London,Fault in equipment or appliance,Bathroom/Toilet,,Faulty Appliance or Supply,Other item,No,0
100255-20072018,FIRE,20/07/2018 07:17,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,,,,WOOD STREET,E17 3JX,WALTHAM FOREST,WOOD STREET,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
108745-31072018,SMOKE ISSUING,31/07/2018 19:55,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Roof space only,JAMES DIXON PRIMARY SCHOOL,,,WILLIAM BOOTH ROAD,SE20 8BW,BROMLEY,CRYSTAL PALACE,Outer London,Unsafe use of equipment or appliance (heat source),Roof space,,Human Element,DIY,No,0
113369-07082018,FIRE   CALLER CAN SEE FROM SALTRAM CRESCENT,07/08/2018 12:13,Primary Fire,Accidental,Hosereel (low pressure) (HR) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,MALVERN PLACE,NW6 5PX,BRENT,KILBURN,Outer London,Natural occurrence,External structures,,Other,Other ignition source,No,0
116381-13082018,SMOKE ISSUING IN KITCHEN AND AFA,13/08/2018 15:42,Primary Fire,Accidental,Removal from/of heat source,Small means,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,,CAVERSHAM ROAD,NW5 2DR,CAMDEN,CANTELOWES,Inner London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
120808-23082018,AFA ACTUATING   ASHLYN GROVE,23/08/2018 09:23,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,ARDLEIGH GREEN JUNIOR SCHOOL,,,ARDLEIGH GREEN ROAD,RM11 2SP,HAVERING,SQUIRREL'S HEATH,Outer London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Kitchen appliances,No,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
